old_code,new_code
EV211,ENVR3205
EV212,ENVR3206
EV213,ENVR3207
EV216,ENVR4201
EV314,ENVR4202
EV318,ENVR4204
EV323,ENVR4205
EV342,ENVR4206
EV343,ENVR4207
EV344,ENVR4208
EV345,ENVR4209
EV352,ENVR4210
EV353,ENVR4211
EV356,ENVR4213
EV357,ENVR4214
EV358,ENVR4215
EV359,ENVR4216
EV360,ENVR4217
EV361,ENVR4218
EV362,ENVR4219
EV364,ENVR4221
EV365,ENVR4222
EV366,ENVR4223
EV405,ENVR4224
EV406,ENVR4225
EV408,ENVR4226
EV415,ENVR4227
EV416,ENVR4228
EV417,ENVR4229
EV421,ENVR4230
EV200,ENVR4301
EV214,ENVR4302
EV325,ENVR4304
EV333,ENVR4305
XP101,ENVR4403
EV217,ENVR4405
EV367,ENVR4406
EV407,ENVR4407
EV422,ENVR4501
EV423,ENVR4502
EV424,ENVR4503
EV426,ENVR4504
EV427,ENVR4505
EV368,ENVR4508
EE216,EST2301
EE321,EST2302
EI243,EST2501
EI242,EST2502
EE221,EST2503
EE222,EST2504
EI234,EST2601
EE393,EST3301
EE391,EST3302
EE366,EST3303
EE390,EST3304
EE395,EST3305
EE234,EST3306
ES342,EST3307
IE309,EST3308
EE386,EST3313
EE347,EST3315
ES302,EST3316
EE457,EST3322
EE375,EST4301
ES343,EST4302
BS473,EST4306
EE455,EST4307
EN061,FL1201
EN042,FL1204
EN044,FL1205
EN133,FL1301
EN134,FL1302
EN246,FL1303
EN139,FL1304
EN135,FL1305
EN247,FL1307
EN140,FL1308
EN142,FL1329
EN143,FL1330
JA104,FL1402
JA105,FL1404
JA103,FL1405
JA249,FL1406
JA107,FL1407
JA106,FL1408
FO101,FL1501
GE103,FL1502
GE106,FL1503
FO102,FL1504
GE107,FL1505
GE104,FL1506
GE105,FL1507
GE209,FL1508
EN040,FL1701P
FR108,FL1811P
FR103,FL1812P
FR127,FL1813P
FR138,FL1814P
FR126,FL1815P
FR129,FL1816P
FR137,FL1817P
FR135,FL1902P
FR139,FL1903P
FR140,FL1904P
FR142,FL1905P
EN062,FL2201
EN041,FL1702P
EN043,FL2204
EN045,FL2205
EN260,FL2301
EN261,FL2302
EN262,FL2303
EN264,FL2304
EN263,FL2305
EN271,FL2306
EN272,FL2307
EN273,FL2308
EN127,FL2309
EN266,FL2310
EN267,FL2311
EN268,FL2312
EN322,FL2313
EN269,FL2314
EN371,FL2315
EN374,FL2331
EN277,FL2333
EN276,FL2334
JA203,FL2402
JA205,FL2403
JA207,FL2404
JA206,FL2405
JA222,FL2406
JA204,FL2407
JA210,FL2408
JA208,FL2409
JA209,FL2410
EN114,FL2411
EN115,FL2412
JA349,FL2413
JA225,FL2417
GE204,FL2501
GE202,FL2502
GE201,FL2503
GE203,FL2504
GE205,FL2505
GE206,FL2506
GE207,FL2507
GE208,FL2508
GE210,FL2509
GE211,FL2510
EN116,FL2511
EN117,FL2512
GE217,FL2521
GE218,FL2522
FR221,FL2603P
EN118,FL2611
EN119,FL2612
FR217,FL2621
FR218,FL2622
FR205,FL2801P
FR219,FL2802P
FR220,FL2803P
FR208,FL2804P
FR141,FL2901P
EN063,FL3201
EN046,FL2701P
EN372,FL3301
EN397,FL3302
EN356,FL3303
EN387,FL3304
EN388,FL3305
EN394,FL3306
EN391,FL3307
EN398,FL3308
EN396,FL3309
EN438,FL3310
EN382,FL3311
EN380,FL3312
EN383,FL3313
EN316,FL3314
EN384,FL3315
EN385,FL3316
EN376,FL3317
EN377,FL3318
EN317,FL3319
